Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
2003,0.341535,0.654343,0.52613,6.970935,2.96264,4.78168,2.059815
2004,0.341472,0.654313,0.529332,6.968875,2.983414,4.785232,2.066706
2005,0.341427,0.654228,0.531157,6.965249,2.998771,4.791258,2.070251
2006,0.341031,0.65408,0.532178,6.937038,3.000826,4.793213,2.063498
2007,0.340069,0.653896,0.533067,6.875454,2.989141,4.786623,2.045624
2008,0.338901,0.653691,0.533768,6.801899,2.974336,4.776402,2.023935
2009,0.337887,0.653468,0.534175,6.73779,2.966808,4.76595,2.005749
2010,0.33739,0.653247,0.534076,6.704455,2.977144,4.761551,1.998437
2011,0.33719,0.653008,0.533199,6.693384,3.007049,4.762322,1.999569
2012,0.336852,0.652748,0.531514,6.682107,3.05234,4.765481,2.001951
2013,0.336404,0.652479,0.528946,6.671047,3.110712,4.772422,2.005814
2014,0.33586,0.652195,0.52599,6.660473,3.181115,4.782222,2.011345
2015,0.335243,0.65189,0.522109,6.650662,3.262674,4.795954,2.018738
2016,0.334578,0.651569,0.517728,6.642099,3.353142,4.813114,2.028263
2017,0.33389,0.651236,0.512844,6.635055,3.452476,4.83561,2.040087
1990,0.208187,0.92757,0.341832,4.681387,0.789317,2.833538,2.028313
1991,0.209785,0.928369,0.356847,4.685907,0.795542,2.835402,2.049379
1992,0.211223,0.929175,0.371034,4.691072,0.800948,2.837781,2.068574
1993,0.21241,0.929915,0.38267,4.696326,0.805388,2.838758,2.085365
1994,0.213271,0.930575,0.393107,4.701428,0.808722,2.841247,2.099318
1995,0.213715,0.931078,0.40044,4.705728,0.810911,2.843022,2.109959
1996,0.213828,0.931422,0.404377,4.708513,0.8123,2.843735,2.119028
1997,0.213817,0.931701,0.407227,4.709979,0.813241,2.844081,2.128489
1998,0.213761,0.931957,0.409591,4.71088,0.814153,2.843956,2.13793
1999,0.213727,0.932186,0.412757,4.711785,0.814085,2.843173,2.146777
2000,0.213811,0.932481,0.417181,4.713647,0.815344,2.844434,2.154801
2001,0.214191,0.932969,0.424428,4.716693,0.815811,2.85036,2.164634
2002,0.214896,0.933724,0.435293,4.720641,0.817033,2.859445,2.177528
2003,0.215751,0.934578,0.447385,4.724681,0.818987,2.868643,2.19081
2004,0.216577,0.935338,0.458792,4.727983,0.819517,2.880701,2.201721
2005,0.217197,0.935832,0.468562,4.729723,0.820644,2.887573,2.207636
2006,0.217741,0.936133,0.477144,4.730386,0.820025,2.895949,2.209743
2007,0.218362,0.936349,0.486541,4.730581,0.817431,2.903689,2.211092
2008,0.218954,0.936513,0.495381,4.730545,0.813868,2.911837,2.212074
2009,0.219389,0.936571,0.501095,4.730069,0.81016,2.917679,2.212884
2010,0.219549,0.936501,0.503098,4.729051,0.808347,2.921188,2.213892
2011,0.219485,0.936325,0.502178,4.72759,0.808045,2.922431,2.215357
2012,0.219325,0.93611,0.50098,4.72601,0.80841,2.923844,2.217306
2013,0.219063,0.935877,0.498897,4.724434,0.808666,2.925149,2.219666
2014,0.218691,0.935645,0.495701,4.722962,0.809368,2.925524,2.222418
2015,0.218187,0.93537,0.489832,4.721352,0.809822,2.926239,2.22539
2016,0.21755,0.935085,0.482149,4.719693,0.812283,2.925232,2.228715
2017,0.216789,0.934872,0.473119,4.718338,0.814065,2.925182,2.232576
1990,0.196859,0.769311,0.322604,6.229625,0.84889,3.298194,1.026206
1991,0.196348,0.769779,0.324928,6.233047,0.850629,3.293987,1.015847
1992,0.195933,0.770276,0.326899,6.236466,0.8527,3.294899,1.006629
1993,0.195624,0.770722,0.330078,6.239389,0.85426,3.296074,0.999537
1994,0.19544,0.771101,0.331957,6.24158,0.855879,3.300926,0.99568
1995,0.195404,0.771414,0.334111,6.242981,0.859401,3.307213,0.996069
1996,0.195547,0.771701,0.336748,6.242642,0.862952,3.320422,0.999393
1997,0.19582,0.772042,0.340337,6.241088,0.870417,3.341016,1.003141
1998,0.196141,0.772382,0.343425,6.239222,0.880233,3.366075,1.006921
1999,0.196419,0.7727,0.346286,6.238341,0.887126,3.389669,1.010229
2000,0.196552,0.772926,0.347366,6.238697,0.892782,3.408121,1.012618
2001,0.196513,0.773288,0.347004,6.241597,0.898266,3.42275,1.014303
2002,0.196388,0.774055,0.345919,6.248151,0.902859,3.436706,1.01567
2003,0.196228,0.774932,0.345006,6.255763,0.908309,3.450324,1.01694
2004,0.196097,0.775705,0.344004,6.262632,0.913754,3.463541,1.01834
2005,0.196061,0.776172,0.344193,6.266881,0.918663,3.475189,1.020212
2006,0.196168,0.776441,0.345436,6.269675,0.925667,3.484572,1.032685
2007,0.196403,0.776908,0.348731,6.274476,0.934328,3.494911,1.059836
2008,0.196688,0.777436,0.35348,6.279516,0.942012,3.505361,1.092824
2009,0.196968,0.778005,0.35912,6.284727,0.947733,3.514906,1.122794
2010,0.19716,0.778442,0.363758,6.288983,0.950791,3.522626,1.140926
2011,0.197312,0.778796,0.368551,6.292558,0.950217,3.531081,1.149932
2012,0.197511,0.779206,0.374344,6.296651,0.948192,3.542724,1.15865
2013,0.197753,0.779671,0.379651,6.300966,0.946046,3.555894,1.167108
2014,0.198024,0.780175,0.385984,6.305186,0.942263,3.57016,1.175064
2015,0.198323,0.780699,0.392488,6.30936,0.935037,3.585183,1.182338
2016,0.198641,0.78126,0.398546,6.313555,0.927602,3.600303,1.188669
2017,0.198965,0.781817,0.405502,6.317738,0.918533,3.617574,1.193835
1990,0.182189,0.659748,0.130505,2.533386,0.43289,2.952192,2.292711
1991,0.18225,0.659975,0.129608,2.532868,0.431362,2.954978,2.333212
1992,0.182275,0.660194,0.128175,2.53238,0.430458,2.957768,2.366647
1993,0.182276,0.660414,0.127241,2.532047,0.429704,2.960464,2.392071
1994,0.182258,0.660609,0.1263,2.531783,0.42959,2.960554,2.408583
1995,0.182226,0.660788,0.125377,2.531971,0.428819,2.959508,2.414334
1996,0.182094,0.660969,0.124704,2.532279,0.429311,2.956909,2.408979
1997,0.181835,0.661193,0.124233,2.532888,0.431468,2.954412,2.394409
1998,0.181554,0.661469,0.123592,2.533763,0.434085,2.950726,2.375189
1999,0.181348,0.661775,0.123103,2.534671,0.436647,2.947649,2.355886
2000,0.181316,0.662105,0.122558,2.535703,0.438794,2.942993,2.340398
2001,0.181505,0.662513,0.122921,2.536728,0.440569,2.938543,2.327326
2002,0.181846,0.663033,0.123741,2.538184,0.44224,2.934647,2.311335
2003,0.18226,0.663607,0.124782,2.539868,0.443903,2.929906,2.292501
2004,0.182662,0.66414,0.125839,2.541397,0.446089,2.924568,2.270934
2005,0.182978,0.664605,0.126952,2.542948,0.4476,2.919469,2.246256
2006,0.183271,0.665004,0.128283,2.543994,0.451233,2.914497,2.207984
2007,0.183641,0.665441,0.130128,2.545016,0.454752,2.906118,2.152756
2008,0.18405,0.665883,0.132591,2.546024,0.459495,2.897034,2.092888
2009,0.184456,0.666285,0.134998,2.546898,0.463572,2.887711,2.040843
2010,0.184825,0.666654,0.137146,2.548088,0.466939,2.885599,2.008758
2011,0.185196,0.666983,0.139249,2.549241,0.469431,2.884706,1.99048
2012,0.185631,0.667332,0.141424,2.550658,0.47139,2.884506,1.971242
2013,0.186123,0.667698,0.143985,2.552296,0.473641,2.882817,1.951835
2014,0.186657,0.668057,0.146272,2.554029,0.475113,2.884324,1.933014
2015,0.187231,0.668437,0.148898,2.55619,0.477995,2.884098,1.915468
2016,0.187838,0.668819,0.151327,2.558292,0.478654,2.88586,1.900334
2017,0.188464,0.669193,0.153735,2.560435,0.48122,2.886924,1.888153
1990,0.212268,0.423963,0.098813,3.158955,0.674757,3.117013,1.173308
1991,0.212087,0.424236,0.099393,3.164977,0.675283,3.132894,1.174143
1992,0.211978,0.424498,0.099501,3.170127,0.675933,3.144739,1.175207
1993,0.211928,0.424737,0.099929,3.174455,0.676324,3.156237,1.176228
1994,0.211915,0.424913,0.099986,3.177647,0.676181,3.163692,1.177046
1995,0.21193,0.425009,0.100352,3.179604,0.676737,3.166803,1.177544
1996,0.21206,0.42506,0.10062,3.180711,0.676851,3.166114,1.178132
1997,0.212346,0.425126,0.100934,3.181452,0.677509,3.16219,1.179432
1998,0.212687,0.4252,0.101161,3.182124,0.678504,3.159382,1.180889
1999,0.21298,0.425265,0.101386,3.182875,0.678171,3.155784,1.182053
2000,0.213131,0.425328,0.101454,3.184126,0.678892,3.15274,1.182458
2001,0.213123,0.425381,0.101563,3.185733,0.679243,3.149467,1.182079
2002,0.213043,0.425422,0.101277,3.187288,0.678374,3.145807,1.181631
2003,0.212945,0.425469,0.101069,3.188961,0.67821,3.141478,1.181112
2004,0.212882,0.425533,0.100827,3.190845,0.677334,3.138797,1.180761
2005,0.212899,0.425614,0.100988,3.192936,0.677656,3.137746,1.180721
2006,0.213118,0.425747,0.101068,3.196182,0.677227,3.139416,1.182857
2007,0.213544,0.425939,0.102022,3.200598,0.675745,3.141492,1.187903
2008,0.214044,0.426164,0.102559,3.205362,0.673565,3.145485,1.194076
2009,0.214484,0.426386,0.10347,3.209514,0.672757,3.148695,1.199788
2010,0.214731,0.426569,0.104303,3.212105,0.673466,3.149008,1.203404
2011,0.214829,0.426717,0.104646,3.213566,0.674456,3.148395,1.205468
2012,0.214907,0.426853,0.104608,3.214644,0.677569,3.147529,1.207519
2013,0.214961,0.426989,0.104925,3.215603,0.679985,3.145321,1.209467
2014,0.21498,0.427115,0.105502,3.21645,0.683547,3.14096,1.21118
2015,0.214951,0.427226,0.105741,3.217235,0.687397,3.135285,1.212548
2016,0.214872,0.42733,0.10613,3.2181,0.693318,3.130135,1.213489
2017,0.214734,0.427419,0.106462,3.218816,0.698906,3.122695,1.213941
1990,0.203719,0.774305,0.272052,2.84742,0.608859,2.771849,1.363675
1991,0.204049,0.775473,0.271624,2.853059,0.611269,2.780396,1.363885
