Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
1990,0.16056,0.697779,0.101855,4.82883,1.677082,4.071831,0.672404
1991,0.160312,0.697961,0.099313,4.82974,1.684746,4.079531,0.671768
1992,0.160135,0.698107,0.096692,4.831108,1.694334,4.088358,0.670644
1993,0.160037,0.698257,0.094336,4.830864,1.70532,4.09619,0.669738
1994,0.160022,0.698469,0.092439,4.829423,1.716069,4.099582,0.66926
1995,0.160076,0.698695,0.09098,4.828337,1.728112,4.104207,0.668746
1996,0.160249,0.698914,0.089709,4.828083,1.737643,4.1075,0.667727
1997,0.160554,0.699127,0.088372,4.827726,1.746891,4.110834,0.66622
1998,0.160931,0.699372,0.08733,4.826971,1.756963,4.114438,0.664676
1999,0.161311,0.699674,0.086267,4.826413,1.770791,4.117633,0.663428
2000,0.161621,0.700015,0.086021,4.827047,1.788395,4.11861,0.662479
2001,0.161957,0.700499,0.086517,4.831409,1.839123,4.121381,0.661158
2002,0.162414,0.701141,0.087023,4.838318,1.934326,4.124928,0.659213
2003,0.162916,0.70186,0.087189,4.845538,2.051106,4.12523,0.657354
2004,0.163377,0.702556,0.088158,4.851512,2.163044,4.126384,0.656132
2005,0.163706,0.703078,0.088933,4.854684,2.247443,4.126908,0.655686
2006,0.163977,0.703517,0.090054,4.856685,2.32102,4.128638,0.656297
2007,0.164302,0.703998,0.091688,4.858861,2.405564,4.129728,0.657709
2008,0.164639,0.70448,0.093589,4.860437,2.483862,4.129656,0.659501
2009,0.164932,0.704925,0.095166,4.861533,2.543884,4.129972,0.661185
2010,0.16513,0.705313,0.097327,4.862777,2.571349,4.130874,0.662062
2011,0.165272,0.705688,0.098638,4.864773,2.57317,4.130862,0.662254
2012,0.165424,0.706086,0.099891,4.867283,2.576189,4.132485,0.662372
2013,0.165579,0.706471,0.101291,4.869701,2.572396,4.134661,0.662433
2014,0.165742,0.706876,0.103137,4.872256,2.562885,4.133526,0.662447
2015,0.165895,0.707275,0.104445,4.875201,2.543144,4.135419,0.662276
2016,0.166035,0.707686,0.105808,4.878875,2.513553,4.135694,0.66185
2017,0.166158,0.708089,0.107142,4.882481,2.473934,4.136347,0.661217
1990,0.193413,0.695013,0.130782,3.327587,0.497616,2.139903,1.709465
1991,0.193393,0.695294,0.129102,3.330348,0.495687,2.141201,1.708135
1992,0.193405,0.695603,0.127063,3.333438,0.495337,2.143395,1.706053
1993,0.193438,0.695922,0.126019,3.336688,0.494085,2.145263,1.703585
1994,0.193491,0.696255,0.125402,3.340089,0.49263,2.15007,1.701142
1995,0.193559,0.696593,0.12532,3.343588,0.492058,2.154413,1.69912
1996,0.193675,0.696925,0.126148,3.346907,0.491589,2.16132,1.693187
1997,0.193865,0.697281,0.127301,3.350161,0.491548,2.170218,1.68162
1998,0.194094,0.6976,0.128839,3.353242,0.49229,2.17953,1.668865
1999,0.194328,0.697972,0.130729,3.35638,0.492855,2.188802,1.658553
2000,0.194541,0.698437,0.132704,3.360267,0.492401,2.195285,1.654338
2001,0.194812,0.698912,0.134932,3.364824,0.492592,2.201979,1.65904
2002,0.195214,0.699501,0.137541,3.37078,0.493751,2.208921,1.670158
2003,0.195677,0.700114,0.140335,3.376952,0.494039,2.216283,1.685102
2004,0.196139,0.700683,0.143047,3.382199,0.495812,2.222116,1.701433
2005,0.196538,0.701136,0.145738,3.385416,0.497503,2.223407,1.716585
2006,0.197004,0.701533,0.148561,3.38721,0.497997,2.222417,1.737167
2007,0.197636,0.701983,0.1517,3.388914,0.497442,2.217203,1.766903
2008,0.198306,0.7024,0.154945,3.390168,0.497332,2.210642,1.79855
2009,0.198905,0.702783,0.157738,3.391018,0.498324,2.206033,1.824955
2010,0.199308,0.703064,0.160337,3.391246,0.50027,2.203342,1.838566
2011,0.199588,0.703313,0.16242,3.391181,0.502703,2.202291,1.843256
2012,0.199863,0.703539,0.165446,3.390807,0.505621,2.202192,1.847375
2013,0.200134,0.70376,0.167105,3.390195,0.508049,2.203098,1.850358
2014,0.200392,0.70397,0.16941,3.389319,0.510089,2.203684,1.851517
2015,0.20063,0.704161,0.171095,3.388212,0.513158,2.204454,1.850252
2016,0.200845,0.704335,0.172627,3.386891,0.515036,2.206507,1.845972
2017,0.201025,0.70448,0.174046,3.385245,0.517614,2.208414,1.837955
1990,0.193582,0.802893,0.189024,4.976553,1.300832,3.732597,0.644399
1991,0.193207,0.802986,0.18699,4.97726,1.319511,3.717979,0.644877
1992,0.192891,0.803126,0.185064,4.978074,1.338333,3.706706,0.645308
1993,0.192647,0.803287,0.183793,4.978894,1.358713,3.694652,0.645669
1994,0.192497,0.803494,0.182518,4.979731,1.377337,3.685278,0.646001
1995,0.192458,0.803752,0.182169,4.980729,1.397873,3.679253,0.646295
1996,0.192505,0.80404,0.182298,4.980781,1.421281,3.674471,0.64654
1997,0.192604,0.804381,0.182681,4.979612,1.446514,3.66957,0.646765
1998,0.192737,0.804756,0.183207,4.978094,1.472332,3.666011,0.646979
